text,edit_history_tweet_ids,created_at,id,lang,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
"As energizing as an energy bar, with a much simpler ingredient list. https://t.co/bYY3YTE0lZ",['2025527782458130557'],2026-02-22T11:07:10.000Z,2025527782458130557,en,2025527782458130557,0,0,0,0,1,3214,epicurious
"Our go-to banana bread recipe is moist, nutty, and incredibly easy to make. https://t.co/7oth4lk1rW",['2024547949993480669'],2026-02-19T18:13:40.000Z,2024547949993480669,en,2024547949993480669,3,0,4,0,3,2690,epicurious
Like Sri Lankan cashew curry and vegan stuffed shells. https://t.co/wY4D0raSbA,['2024243923661836649'],2026-02-18T22:05:34.000Z,2024243923661836649,en,2024243923661836649,0,0,7,0,3,2130,epicurious
"Nutty, protein-packed, and batchable—perfect for hectic mornings. https://t.co/8nWXfBkSXp",['2023863571000815928'],2026-02-17T20:54:11.000Z,2023863571000815928,en,2023863571000815928,1,0,5,0,2,2086,epicurious
"With titles dedicated to party appetizers, therapeutic baking, and more. https://t.co/cvximOth2n",['2021600321760633138'],2026-02-11T15:00:50.000Z,2021600321760633138,en,2021600321760633138,0,0,3,0,2,1937,epicurious
"A flexible San Francisco favorite, finished with bright, garlicky gremolata toasts for soaking up the saucy broth. https://t.co/vTsP7oMkKA",['2021273454293798984'],2026-02-10T17:21:59.000Z,2021273454293798984,en,2021273454293798984,0,0,4,0,5,2259,epicurious
Like hot honey–glazed salmon and chiles rellenos. https://t.co/52Eu8y08it,['2020061123555496008'],2026-02-07T09:04:37.000Z,2020061123555496008,en,2020061123555496008,3,2,3,0,1,2577,epicurious
"We’ve got buldak chicken parm, cheesy broccoli rabe, and a tiramisu panna cotta. https://t.co/v15zSjBJiX",['2019058128550298097'],2026-02-04T14:39:04.000Z,2019058128550298097,en,2019058128550298097,0,1,2,0,1,1953,epicurious
Extra vino? Simmer it into a spiced syrup and pour over ice cream for an elegant dessert. https://t.co/N8pRkcxT5u,['2018687560118391265'],2026-02-03T14:06:34.000Z,2018687560118391265,en,2018687560118391265,0,0,2,0,0,2005,epicurious
These cheesy biscuits are a dream savory breakfast. Or pile them in a basket to round out any dinner. https://t.co/5etEGsuJCU,['2017932469505519732'],2026-02-01T12:06:06.000Z,2017932469505519732,en,2017932469505519732,0,0,4,0,3,3257,epicurious
"Use this simple vinaigrette to dress a plate of greens, some steamed potatoes, or anything else that strikes your fancy. https://t.co/HHqlsUoQEA",['2016228001344868613'],2026-01-27T19:13:09.000Z,2016228001344868613,en,2016228001344868613,1,0,4,0,7,2331,epicurious
"A brief simmer in chicken stock makes fennel meltingly tender, mellowing out its sharp licorice notes. A fennel dish to convert the fennel haters. https://t.co/CXKCmCZXTi",['2016143074544738797'],2026-01-27T13:35:41.000Z,2016143074544738797,en,2016143074544738797,0,1,4,0,1,2691,epicurious
The heat of pickled chiles brings a welcome zing that integrates well with the salty elements of puttanesca and acts like a counterweight to rich pork chops. https://t.co/CzNXdoOqlR,['2016135520552943957'],2026-01-27T13:05:40.000Z,2016135520552943957,en,2016135520552943957,0,0,0,0,1,2039,epicurious
"This laid-back Italian tart is made with a tender, buttery shortbread crust, filled with apricot jam, and blanketed in a layer of sliced almonds. https://t.co/l2Zkkd162w",['2016127965076292022'],2026-01-27T12:35:39.000Z,2016127965076292022,en,2016127965076292022,0,0,0,0,1,2265,epicurious
"This easy, one-skillet chicken stroganoff features tender chicken breasts, savory mushrooms, and a creamy Dijon-crème fraîche sauce—perfect for weeknights. https://t.co/nYTEzn0JD3",['2016120589711454388'],2026-01-27T12:06:20.000Z,2016120589711454388,en,2016120589711454388,0,0,2,0,2,2220,epicurious
"Skip the crushed red pepper flakes and reach for gochujang, which adds funk and spice in the marinara sauce for this reimagined twist on chicken Parm. https://t.co/qY2IjRbJZK",['2016113036088787351'],2026-01-27T11:36:20.000Z,2016113036088787351,en,2016113036088787351,0,0,2,0,2,2008,epicurious
"A light, frothy Italian dessert made from egg yolks, sugar, and Prosecco, this easy zabaglione recipe is perfect served warm with fruit and biscotti. https://t.co/xm3JmPveju",['2016105480100499716'],2026-01-27T11:06:18.000Z,2016105480100499716,en,2016105480100499716,0,0,0,0,1,2127,epicurious
"A game-day hero featuring focaccia slathered with Calabrian chili aioli, piled high with cooked steak, melted cheese, peppers, and onions. https://t.co/Va6nC9qdiP",['2016097925294944551'],2026-01-27T10:36:17.000Z,2016097925294944551,en,2016097925294944551,0,0,0,0,0,1880,epicurious
"A Sicilian-inspired kale salad with creamy almond dressing, raisins, and pine nuts. Excellent for meal prep and packing as a desk lunch. https://t.co/derWzgdXZc",['2016090371126882401'],2026-01-27T10:06:16.000Z,2016090371126882401,en,2016090371126882401,0,1,0,0,3,1537,epicurious
"Harissa adds a layer of nuance to this twist on Italian American favorite, shrimp scampi, offering added body and warmth from spices such as caraway and cumin. https://t.co/GwBvRP6Nvw",['2016082631646183650'],2026-01-27T09:35:31.000Z,2016082631646183650,en,2016082631646183650,1,0,5,0,1,1985,epicurious
This sheetcake version of Italian cassata houses a booze-soaked spongecake and sweet ricotta under a blanket of green marzipan dotted with candied fruit. https://t.co/CbuknJQcIN,['2016075706145653114'],2026-01-27T09:07:59.000Z,2016075706145653114,en,2016075706145653114,0,0,1,0,0,1948,epicurious
"This broiled hot honey salmon recipe results in sweet, spicy, glossy fish coated in a homemade hot honey glaze for an easy weeknight dinner or make-ahead lunch. https://t.co/pmgnw1dt8w",['2016067725714718745'],2026-01-27T08:36:17.000Z,2016067725714718745,en,2016067725714718745,0,0,1,0,0,1824,epicurious
"Creamy panna cotta imbued with mascarpone, espresso, cocoa, and booze is everything you love about classic Italian tiramisu in a lusciously wobbly package. https://t.co/rKyN6xuSGk",['2016060103414448436'],2026-01-27T08:05:59.000Z,2016060103414448436,en,2016060103414448436,0,0,0,0,1,1462,epicurious
"Rich and funky black bean garlic sauce, a pantry favorite in Chinese cuisine, provides depth and flavor to this weeknight riff on ragù Bolognese. https://t.co/tvKfVMVjHs",['2016052583719375318'],2026-01-27T07:36:07.000Z,2016052583719375318,en,2016052583719375318,0,0,0,0,1,1564,epicurious
"Bathe greens and chickpeas in a garlicky, tomato-enhanced broth. Stretch a block of Halloumi by grating and toasting it into a topping for the soup. https://t.co/q6fODYDHmf",['2016044981547598012'],2026-01-27T07:05:54.000Z,2016044981547598012,en,2016044981547598012,0,0,1,0,1,1781,epicurious
"This playful take on classic Italian rum babà soaks a giant, plush brioche loaf in a fiery rum syrup infused with plenty of citrus. https://t.co/QGbyXrfqhe",['2016037419653726325'],2026-01-27T06:35:51.000Z,2016037419653726325,en,2016037419653726325,0,0,0,0,0,1750,epicurious
Cooking down radicchio with vinegar and sugar until jammy is an eye-opening approach that reveals a world of options beyond salad. https://t.co/J0Smr00iKL,['2016029865410252859'],2026-01-27T06:05:50.000Z,2016029865410252859,en,2016029865410252859,1,0,2,0,0,1904,epicurious
"Spiced, tender meatballs get cooked atop a bed of rice pilaf speckled with pistachios and plump golden raisins in this quick, one-pot dinner. https://t.co/DmRg5TFlIV",['2016022310281740769'],2026-01-27T05:35:49.000Z,2016022310281740769,en,2016022310281740769,1,1,4,0,0,1800,epicurious
"A take on Utica greens, a classic Italian American dish from central New York, made with bunches of broccoli rabe, Pecorino, and pickled chiles. https://t.co/NOMshXmYmS",['2016014754691874865'],2026-01-27T05:05:47.000Z,2016014754691874865,en,2016014754691874865,1,0,1,0,1,2025,epicurious
From Italian wedding soup with escarole to green smoothies with kale. https://t.co/yeERfk8Ye3,['2011893370310869461'],2026-01-15T20:08:53.000Z,2011893370310869461,en,2011893370310869461,2,0,3,0,1,2242,epicurious
Add a few dashes of Angostura bitters to the top of this lemon-lime-ade for a dreamy ombré look. https://t.co/Li6wfdZXKq,['2011205490831945830'],2026-01-13T22:35:30.000Z,2011205490831945830,en,2011205490831945830,2,1,4,0,1,2603,epicurious
Like za’atar fire crackers and mushroom lasagna. https://t.co/at2E65qQ1K,['2007378421677207670'],2026-01-03T09:08:05.000Z,2007378421677207670,en,2007378421677207670,2,0,2,0,3,3200,epicurious
A feel-good dinner designed to cram a ton of veg in each serving. https://t.co/nGXHtUkV7m,['2006713928517407150'],2026-01-01T13:07:38.000Z,2006713928517407150,en,2006713928517407150,1,1,2,0,0,3516,epicurious
"Crusty, chewy, and actually easy. No lye or barley syrup needed. https://t.co/kNBjHzd2aa",['2006698818075832758'],2026-01-01T12:07:35.000Z,2006698818075832758,en,2006698818075832758,0,0,1,0,0,3710,epicurious
Like sheet-pan chicken souvlaki and lentil tomato soup. https://t.co/LIuff7sQmi,['2003061065551388902'],2025-12-22T11:12:27.000Z,2003061065551388902,ht,2003061065551388902,0,1,5,0,1,3347,epicurious
This classic carbonara traps crispy pancetta and all that silky sauce in big tubes of rigatoni. https://t.co/dXUsu3KnrA,['2001704976150896969'],2025-12-18T17:23:50.000Z,2001704976150896969,en,2001704976150896969,0,4,0,0,1,2937,epicurious
Turn humble onions into this thrifty yet luxe pasta dinner. https://t.co/zAYYcLiqoK,['2001397147418390638'],2025-12-17T21:00:38.000Z,2001397147418390638,en,2001397147418390638,0,1,5,0,3,2484,epicurious
The silky French vanilla sauce that goes with everything. https://t.co/Q4r8iOmiA6,['2000988065599512813'],2025-12-16T17:55:06.000Z,2000988065599512813,en,2000988065599512813,0,1,2,0,0,2504,epicurious
"Your new house dressing: creamy, herby, and dangerously dippable. https://t.co/hu9q1R6dxG",['1999193713021767915'],2025-12-11T19:04:59.000Z,1999193713021767915,en,1999193713021767915,0,2,1,0,1,2457,epicurious
"All the cozy vibes of the classic gooey-cheesy dish, made into a 20-minute meal. https://t.co/lc9MLVVMKF",['1999178603427397911'],2025-12-11T18:04:56.000Z,1999178603427397911,en,1999178603427397911,0,2,0,0,0,2607,epicurious
"A mix of turmeric, ginger, and milk thistle in Dose for Your Liver purports to support your liver health—but what does the research say? https://t.co/GQlTHzN7ly",['1998864794317881470'],2025-12-10T21:17:58.000Z,1998864794317881470,en,1998864794317881470,1,3,7,0,2,3060,epicurious
This flexible recipe is all you need to bring this iconic Provençal seafood stew to your table. https://t.co/YawjZt5ENx,['1998500545640935828'],2025-12-09T21:10:35.000Z,1998500545640935828,en,1998500545640935828,0,2,3,0,2,2495,epicurious
"This flavorful fish stock is your secret weapon for bouillabaisse, shrimp risotto, clam chowder, and more. https://t.co/945MFeZONT",['1998492991430996236'],2025-12-09T20:40:34.000Z,1998492991430996236,en,1998492991430996236,0,2,3,0,0,2654,epicurious
This piquant French sauce comes together in the blender in just five minutes. https://t.co/oJVEeRSimT,['1998485435342086271'],2025-12-09T20:10:32.000Z,1998485435342086271,en,1998485435342086271,0,1,2,0,0,2419,epicurious
An oven-baked take on the Atlanta classic. https://t.co/2UBtEwJ8lu,['1998367027371900999'],2025-12-09T12:20:01.000Z,1998367027371900999,en,1998367027371900999,0,1,0,0,0,2758,epicurious
This is what I call a fridge-eater recipe. The key here is getting a nice sear on the sausage and cooking the tomato down until it coats the sausage and vegetables well. https://t.co/RpHuDKrs98,['1998300621125144967'],2025-12-09T07:56:09.000Z,1998300621125144967,en,1998300621125144967,0,1,2,0,2,2961,epicurious
Like Key lime thumbprint cookies and a spicy cabbage salad. https://t.co/gWyYv9ZIzc,['1997233349770018995'],2025-12-06T09:15:12.000Z,1997233349770018995,en,1997233349770018995,0,2,7,0,3,4000,epicurious
"Filberts, goobers, scaly bark nuts: Explore the world beyond almonds in this guide. https://t.co/cJ57xkE2u3",['1996708958959177917'],2025-12-04T22:31:27.000Z,1996708958959177917,en,1996708958959177917,1,3,4,0,0,2604,epicurious
Like Bombay rolls and roasted eggplant in satay sauce. https://t.co/gNfH8oXSKF,['1996205011022516427'],2025-12-03T13:08:56.000Z,1996205011022516427,en,1996205011022516427,1,2,3,0,0,2415,epicurious
"Studded with golden raisins and a crown of almonds, this yeasted Alsatian sweet bread is an ideal holiday loaf. https://t.co/p5VCtmgxcf",['1995986538061332851'],2025-12-02T22:40:48.000Z,1995986538061332851,en,1995986538061332851,1,2,4,0,1,2507,epicurious
A solid new choice for a filling desk lunch. https://t.co/wHhx4Ml4bC,['1995978729718448404'],2025-12-02T22:09:47.000Z,1995978729718448404,en,1995978729718448404,1,2,1,0,0,2181,epicurious
Crispy. Golden. Fluffy. Bubbe would approve. https://t.co/lfxr1ZHdob,['1995924587356586154'],2025-12-02T18:34:38.000Z,1995924587356586154,en,1995924587356586154,1,2,2,0,1,2263,epicurious
"According to editors, cookbook authors, and chefs. https://t.co/NjfrqbaEth",['1995889583469502881'],2025-12-02T16:15:33.000Z,1995889583469502881,en,1995889583469502881,1,2,0,0,0,1964,epicurious
"We’ve got a caramelized onion and spinach quiche, hot chocolate cookies, and more. https://t.co/6jQ2Uiozpw",['1995881776963797125'],2025-12-02T15:44:31.000Z,1995881776963797125,en,1995881776963797125,1,2,2,0,0,2130,epicurious
"Like sofrito bolognese, baked butter paneer, and London Fog brownies. https://t.co/mk86p6UYYs",['1995812118751580251'],2025-12-02T11:07:44.000Z,1995812118751580251,en,1995812118751580251,3,3,4,0,1,2924,epicurious
Pavlova meets Black Forest cake in a holiday dessert designed to steal the spotlight. https://t.co/kcypMZtm5B,['1995465197432242556'],2025-12-01T12:09:11.000Z,1995465197432242556,en,1995465197432242556,1,2,1,0,0,2980,epicurious
"This breakfast-for-a-crowd crams everything good about babka into a hearty casserole: sweet custard, cinnamon, chocolate, and tender slices of bread. https://t.co/1XFhC1Aqlw",['1994446096144503060'],2025-11-28T16:39:38.000Z,1994446096144503060,en,1994446096144503060,1,2,1,0,0,2287,epicurious
A shortbread base made with cheddar cheese provides a salty contrast against a chewy caramel in this playful cookie bar that pays homage to Chicago mix popcorn. https://t.co/xhcws6mS7u,['1994438540336496800'],2025-11-28T16:09:37.000Z,1994438540336496800,en,1994438540336496800,1,2,0,0,1,1899,epicurious
"The classic dessert reimagined as a soft and chewy cookie with a buttery, brown-sugar-sweetened graham cracker dough and a silky lime custard filling. https://t.co/QpM9MP9mdH",['1994430985778368538'],2025-11-28T15:39:36.000Z,1994430985778368538,en,1994430985778368538,2,1,0,0,0,2413,epicurious
A swirl of marshmallow fluff melts into the tops of these hot chocolate cookies while a pinch of cinnamon imparts the taste of a wintry mug of warm Nesquik. https://t.co/PDnmP2WGxK,['1994423430989701506'],2025-11-28T15:09:35.000Z,1994423430989701506,en,1994423430989701506,1,1,0,0,0,2279,epicurious
